season,opponent,venue,latitude,longitude
2011,Georgia Southern,J.I. Clements Stadium,32.4208,-81.7812
2011,Georgia Tech,Mac Nease Park,33.774,-84.3975
2011,High Point,Williard Stadium,35.9557,-80.0053
2011,James Madison,Eagle Field,38.4341,-78.8711
2011,Maine,Mahaney Diamond,44.898,-68.6707
2011,Maryland,Shipley Field,38.9886,-76.949
2011,Miami,Mark Light Field,25.7189,-80.2775
2011,Missouri,Taylor Stadium,38.9399,-92.328
2011,NC State,Doak Field,35.7826,-78.6986
2011,North Carolina,Boshamer Stadium,35.9115,-79.0528
2011,Northwestern,Rocky Miller Park,42.055,-87.668
2011,Pacific,Klein Family Field,37.9677,-121.3087
2011,Princeton,Clarke Field,40.3501,-74.6564
2011,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2011,Southern California,Dedeaux Field,34.025,-118.2893
2011,St. John's,Dal Mutone Field,40.7282,-73.8019
2011,Stanford,Sunken Diamond,37.4344,-122.1633
2011,Stetson,Melching Field,29.0247,-81.289
2011,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2011,Texas,UFCU Disch-Falk Field,30.278,-97.7267
2011,UNC Asheville,Greenwood Field,35.5697,-82.5567
2011,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2011,UNC Wilmington,Brooks Field,34.2273,-77.8709
2011,Vanderbilt,Hawkins Field,36.1434,-86.8003
2011,Virginia,Disharoon Park,38.03,-78.5155
2011,Virginia Tech,English Field,37.2296,-80.4139
2011,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2011,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2012,Boston College,Harrington Field,42.3353,-71.1675
2012,CSU Bakersfield,Hardt Field,35.3718,-119.1014
2012,Campbell,Jim Perry Stadium,35.4065,-78.478
2012,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2012,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2012,Cornell,Hoy Field,42.4483,-76.4835
2012,Davidson,Wilson Field,35.4993,-80.847
2012,Duke,Jack Coombs Field,36.0014,-78.9381
2012,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2012,Elon,Latham Park,36.1023,-79.4952
2012,Florida,McKethan Stadium,29.6497,-82.3497
2012,Florida State,Dick Howser Stadium,30.443,-84.2977
2012,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2012,George Mason,Spuhler Field,38.831,-77.3075
2012,Georgia Tech,Mac Nease Park,33.774,-84.3975
2012,High Point,Williard Stadium,35.9557,-80.0053
2012,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2012,Marshall,Kennedy Center Baseball Complex,38.4192,-82.4452
2012,Maryland,Shipley Field,38.9886,-76.949
2012,Miami,Mark Light Field,25.7189,-80.2775
2012,NC State,Doak Field,35.7826,-78.6986
2012,North Carolina,Boshamer Stadium,35.9115,-79.0528
2012,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2012,Princeton,Clarke Field,40.3501,-74.6564
2012,Saint Joseph's,Brennan Family Field,39.9924,-75.2268
2012,Southern California,Dedeaux Field,34.025,-118.2893
2012,St. John's,Dal Mutone Field,40.7282,-73.8019
2012,UNC Asheville,Greenwood Field,35.5697,-82.5567
2012,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2012,UNC Wilmington,Brooks Field,34.2273,-77.8709
2012,Virginia,Disharoon Park,38.03,-78.5155
2012,Virginia Tech,English Field,37.2296,-80.4139
2012,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2012,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2012,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2012,Wright State,Nischwitz Stadium,39.779,-84.0625
2012,Xavier,Hayden Field,39.1487,-84.4726
2013,Appalachian State,Beaver Field,36.2139,-81.6829
2013,Binghamton,Alex Angelos Field,42.088,-76.0066
2013,Boston College,Harrington Field,42.3353,-71.1675
2013,California,Evans Diamond,37.8719,-122.2583
2013,Canisius,Demske Sports Complex,42.9237,-78.8592
2013,Charlotte,Hayes Stadium,35.3058,-80.7327
2013,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2013,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2013,Davidson,Wilson Field,35.4993,-80.847
2013,Duke,Jack Coombs Field,36.0014,-78.9381
2013,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2013,Elon,Latham Park,36.1023,-79.4952
2013,Florida Atlantic,FAU Stadium,26.3758,-80.102
2013,Florida State,Dick Howser Stadium,30.443,-84.2977
2013,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2013,Georgia Tech,Mac Nease Park,33.774,-84.3975
2013,High Point,Williard Stadium,35.9557,-80.0053
2013,James Madison,Eagle Field,38.4341,-78.8711
2013,LSU,Alex Box Stadium,30.4128,-91.1859
2013,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2013,Maryland,Shipley Field,38.9886,-76.949
2013,Miami,Mark Light Field,25.7189,-80.2775
2013,NC State,Doak Field,35.7826,-78.6986
2013,New Mexico State,Presley Askew Field,32.2818,-106.7484
2013,North Carolina,Boshamer Stadium,35.9115,-79.0528
2013,Princeton,Clarke Field,40.3501,-74.6564
2013,Quinnipiac,Quinnipiac Baseball Complex,41.419878,-72.891449
2013,Rice,Rice's Reckling Park,29.7176,-95.3991
2013,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2013,South Carolina,Sarge Frye Field,34.0007,-81.0204
2013,St. John's,Dal Mutone Field,40.7282,-73.8019
2013,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2013,Texas A&M,Blue Bell Park,30.5833,-96.3501
2013,The Citadel,Riley Park,32.782,-79.9394
2013,Towson,John B. Schuerholz Park,39.3971,-76.5994
2013,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2013,UMBC,John Winnemore Baseball Field,39.2555,-76.7093
2013,UNC Wilmington,Brooks Field,34.2273,-77.8709
2013,Virginia,Disharoon Park,38.03,-78.5155
2013,Virginia Commonwealth,Pate Field,37.5478,-77.474
2013,Virginia Tech,English Field,37.2296,-80.4139
2013,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2013,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2014,Appalachian State,Beaver Field,36.2139,-81.6829
2014,Boston College,Harrington Field,42.3353,-71.1675
2014,Campbell,Jim Perry Stadium,35.4065,-78.478
2014,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2014,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2014,College of Charleston,Patriots Point,32.7857,-79.9152
2014,Davidson,Wilson Field,35.4993,-80.847
2014,Duke,Jack Coombs Field,36.0014,-78.9381
2014,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2014,Elon,Latham Park,36.1023,-79.4952
2014,Florida,McKethan Stadium,29.6497,-82.3497
2014,Florida State,Dick Howser Stadium,30.443,-84.2977
2014,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2014,George Mason,Spuhler Field,38.831,-77.3075
2014,Georgia Tech,Mac Nease Park,33.774,-84.3975
2014,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2014,Long Beach State,Blair Field,33.7836,-118.1863
2014,Maryland,Shipley Field,38.9886,-76.949
2014,Miami,Mark Light Field,25.7189,-80.2775
2014,NC State,Doak Field,35.7826,-78.6986
2014,North Carolina,Boshamer Stadium,35.9115,-79.0528
2014,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2014,North Florida,Harmon Stadium,30.2665,-81.5021
2014,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2014,Princeton,Clarke Field,40.3501,-74.6564
2014,Radford,Kyle Carter Sports Complex,37.1285,-80.5718
2014,Stetson,Melching Field,29.0247,-81.289
2014,UC Santa Barbara,Caesar Uyesaka Stadium,34.4132,-119.849
2014,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2014,UNC Wilmington,Brooks Field,34.2273,-77.8709
2014,Virginia,Disharoon Park,38.03,-78.5155
2014,Virginia Tech,English Field,37.2296,-80.4139
2014,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2014,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2014,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2014,Xavier,Hayden Field,39.1487,-84.4726
2015,Albany,Bob Ford Field,42.687,-73.8234
2015,Appalachian State,Beaver Field,36.2139,-81.6829
2015,Boston College,Harrington Field,42.3353,-71.1675
2015,Campbell,Jim Perry Stadium,35.4065,-78.478
2015,Charlotte,Hayes Stadium,35.3058,-80.7327
2015,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2015,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2015,Davidson,Wilson Field,35.4993,-80.847
2015,Duke,Jack Coombs Field,36.0014,-78.9381
2015,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2015,Elon,Latham Park,36.1023,-79.4952
2015,Florida Atlantic,FAU Stadium,26.3758,-80.102
2015,Florida International,FIU Baseball Stadium,25.7545,-80.3808
2015,Florida State,Dick Howser Stadium,30.443,-84.2977
2015,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2015,Georgia Tech,Mac Nease Park,33.774,-84.3975
2015,High Point,Williard Stadium,35.9557,-80.0053
2015,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2015,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2015,Miami,Mark Light Field,25.7189,-80.2775
2015,NC State,Doak Field,35.7826,-78.6986
2015,North Carolina,Boshamer Stadium,35.9115,-79.0528
2015,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2015,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2015,Rhode Island,Bill Beck Field,41.4862,-71.5281
2015,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2015,St. John's,Dal Mutone Field,40.7282,-73.8019
2015,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2015,TCU,Lupton Stadium,32.7294,-97.2924
2015,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2015,UNC Asheville,Greenwood Field,35.5697,-82.5567
2015,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2015,UNC Wilmington,Brooks Field,34.2273,-77.8709
2015,Virginia,Disharoon Park,38.03,-78.5155
2015,Virginia Commonwealth,Pate Field,37.5478,-77.474
2015,Virginia Tech,English Field,37.2296,-80.4139
2015,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2015,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2016,Alabama,Sewell-Thomas Stadium,33.2102,-87.5497
2016,Campbell,Jim Perry Stadium,35.4065,-78.478
2016,Charlotte,Hayes Stadium,35.3058,-80.7327
2016,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2016,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2016,Davidson,Wilson Field,35.4993,-80.847
2016,Duke,Jack Coombs Field,36.0014,-78.9381
2016,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2016,Elon,Latham Park,36.1023,-79.4952
2016,Fairfield,Alumni Diamond,41.2033,-73.2448
2016,Florida State,Dick Howser Stadium,30.443,-84.2977
2016,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2016,Georgia Tech,Mac Nease Park,33.774,-84.3975
2016,High Point,Williard Stadium,35.9557,-80.0053
2016,Indiana State,Bob Warn Field,39.4667,-87.4136
2016,Kent State,Schoonover Stadium,41.1467,-81.3345
2016,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2016,Miami,Mark Light Field,25.7189,-80.2775
2016,Morehead State,Allen Field,38.1876,-83.4323
2016,NC State,Doak Field,35.7826,-78.6986
2016,Navy,Max Bishop Stadium,38.9815,-76.4929
2016,Niagara,Condor Field,43.1725,-79.0554
2016,North Carolina,Boshamer Stadium,35.9115,-79.0528
2016,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2016,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2016,Oklahoma State,O'Brate Stadium,36.130975,-97.068777
2016,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2016,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2016,South Carolina,Sarge Frye Field,34.0007,-81.0204
2016,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2016,UNC Asheville,Greenwood Field,35.5697,-82.5567
2016,UNC Wilmington,Brooks Field,34.2273,-77.8709
2016,Virginia,Disharoon Park,38.03,-78.5155
2016,Virginia Commonwealth,Pate Field,37.5478,-77.474
2016,Virginia Tech,English Field,37.2296,-80.4139
2016,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2016,Western Carolina,Hennon Stadium,35.3084,-83.1961
2016,William & Mary,Plumeri Park,37.2746,-76.7142
2016,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2017,Austin Peay,Raymond C. Hand Park,36.5248,-87.3592
2017,Boston College,Harrington Field,42.3353,-71.1675
2017,Campbell,Jim Perry Stadium,35.4065,-78.478
2017,Charlotte,Hayes Stadium,35.3058,-80.7327
2017,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2017,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2017,Davidson,Wilson Field,35.4993,-80.847
2017,Delaware,Bob Hannah Stadium,39.6818,-75.7525
2017,Duke,Jack Coombs Field,36.0014,-78.9381
2017,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2017,Elon,Latham Park,36.1023,-79.4952
2017,Florida Gulf Coast,Swanson Stadium,26.4615,-81.7678
2017,Florida State,Dick Howser Stadium,30.443,-84.2977
2017,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2017,Georgia Tech,Mac Nease Park,33.774,-84.3975
2017,Hawai'i,Les Murakami Stadium,21.2967,-157.8174
2017,Indiana,Bart Kaufman Field,39.1756,-86.5162
2017,Kentucky,Kentucky Proud Park,37.9986,-84.4979
2017,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2017,Long Beach State,Blair Field,33.7836,-118.1863
2017,Maryland,Shipley Field,38.9886,-76.949
2017,Miami,Mark Light Field,25.7189,-80.2775
2017,Michigan,Ray Fisher Stadium,42.2676,-83.7484
2017,NC State,Doak Field,35.7826,-78.6986
2017,North Carolina,Boshamer Stadium,35.9115,-79.0528
2017,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2017,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2017,Radford,Kyle Carter Sports Complex,37.1285,-80.5718
2017,Richmond,Pitt Field,37.5671,-77.5387
2017,South Carolina,Sarge Frye Field,34.0007,-81.0204
2017,St. John's,Dal Mutone Field,40.7282,-73.8019
2017,UNC Asheville,Greenwood Field,35.5697,-82.5567
2017,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2017,UNC Wilmington,Brooks Field,34.2273,-77.8709
2017,Virginia,Disharoon Park,38.03,-78.5155
2017,Virginia Commonwealth,Pate Field,37.5478,-77.474
2017,Virginia Tech,English Field,37.2296,-80.4139
2017,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2017,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2018,Air Force,Falcon Field,39.015593,-104.888245
2018,Appalachian State,Beaver Field,36.2139,-81.6829
2018,Army,Doubleday Field,41.3912,-73.9577
2018,Bowling Green,Warren E. Steller Field,41.3778,-83.651
2018,Campbell,Jim Perry Stadium,35.4065,-78.478
2018,Charlotte,Hayes Stadium,35.3058,-80.7327
2018,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2018,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2018,Duke,Jack Coombs Field,36.0014,-78.9381
2018,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2018,Florida State,Dick Howser Stadium,30.443,-84.2977
2018,Furman,Latham Baseball Stadium,34.9268,-82.4429
2018,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2018,Georgia Tech,Mac Nease Park,33.774,-84.3975
2018,High Point,Williard Stadium,35.9557,-80.0053
2018,Houston,Schroeder Park,29.7196,-95.3921
2018,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2018,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2018,Maryland,Shipley Field,38.9886,-76.949
2018,Miami,Mark Light Field,25.7189,-80.2775
2018,Mississippi State,Dudy Noble Field,33.46,-88.823
2018,NC State,Doak Field,35.7826,-78.6986
2018,North Carolina,Boshamer Stadium,35.9115,-79.0528
2018,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2018,Northeastern,Friedman Diamond,42.3369,-71.1139
2018,Oregon State,Goss Stadium,44.5634,-123.2838
2018,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2018,Richmond,Pitt Field,37.5671,-77.5387
2018,South Carolina,Sarge Frye Field,34.0007,-81.0204
2018,South Florida,USF Baseball Stadium,28.064,-82.4076
2018,St. John's,Dal Mutone Field,40.7282,-73.8019
2018,Stetson,Melching Field,29.0247,-81.289
2018,UNC Asheville,Greenwood Field,35.5697,-82.5567
2018,UNC Wilmington,Brooks Field,34.2273,-77.8709
2018,Virginia,Disharoon Park,38.03,-78.5155
2018,Virginia Commonwealth,Pate Field,37.5478,-77.474
2018,Virginia Tech,English Field,37.2296,-80.4139
2018,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2018,Western Carolina,Hennon Stadium,35.3084,-83.1961
2019,Auburn,Plainsman Park,32.592,-85.494
2019,Boston College,Harrington Field,42.3353,-71.1675
2019,Campbell,Jim Perry Stadium,35.4065,-78.478
2019,Charleston Southern,Buccaneer Park,32.983152,-80.066997
2019,Charlotte,Hayes Stadium,35.3058,-80.7327
2019,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2019,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2019,Davidson,Wilson Field,35.4993,-80.847
2019,Duke,Jack Coombs Field,36.0014,-78.9381
2019,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2019,Elon,Latham Park,36.1023,-79.4952
2019,Florida State,Dick Howser Stadium,30.443,-84.2977
2019,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2019,Georgia Tech,Mac Nease Park,33.774,-84.3975
2019,High Point,Williard Stadium,35.9557,-80.0053
2019,Kent State,Schoonover Stadium,41.1467,-81.3345
2019,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2019,Miami,Mark Light Field,25.7189,-80.2775
2019,Michigan State,Kobs Field,42.7249,-84.4837
2019,NC Central,Durham Athletic Park,35.9851,-78.9131
2019,NC State,Doak Field,35.7826,-78.6986
2019,North Carolina,Boshamer Stadium,35.9115,-79.0528
2019,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2019,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2019,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2019,South Carolina,Sarge Frye Field,34.0007,-81.0204
2019,South Florida,USF Baseball Stadium,28.064,-82.4076
2019,Tennessee,Lindsey Nelson Stadium,35.9487,-83.9308
2019,Tennessee Tech,Bush Stadium,36.1629,-85.5177
2019,UMass Lowell,Lelacheur Park,42.6425,-71.3126
2019,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2019,UNC Wilmington,Brooks Field,34.2273,-77.8709
2019,Virginia,Disharoon Park,38.03,-78.5155
2019,Virginia Commonwealth,Pate Field,37.5478,-77.474
2019,Virginia Tech,English Field,37.2296,-80.4139
2019,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2019,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2019,Xavier,Hayden Field,39.1487,-84.4726
2020,Appalachian State,Beaver Field,36.2139,-81.6829
2020,Austin Peay,Raymond C. Hand Park,36.5248,-87.3592
2020,Campbell,Jim Perry Stadium,35.4065,-78.478
2020,Charlotte,Hayes Stadium,35.3058,-80.7327
2020,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2020,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2020,College of Charleston,Patriots Point,32.7857,-79.9152
2020,Dallas Baptist,Horner Ballpark,32.6799,-96.8699
2020,Duke,Jack Coombs Field,36.0014,-78.9381
2020,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2020,Elon,Latham Park,36.1023,-79.4952
2020,Florida State,Dick Howser Stadium,30.443,-84.2977
2020,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2020,Georgia Tech,Mac Nease Park,33.774,-84.3975
2020,High Point,Williard Stadium,35.9557,-80.0053
2020,Iowa,Duane Banks Field,41.6541,-91.5518
2020,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2020,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2020,Miami,Mark Light Field,25.7189,-80.2775
2020,Middle Tennessee,Reese Smith Jr. Field,35.8467,-86.3503
2020,Minnesota,Siebert Field,44.974,-93.2578
2020,NC State,Doak Field,35.7826,-78.6986
2020,North Carolina,Boshamer Stadium,35.9115,-79.0528
2020,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2020,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2020,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2020,Purdue,Lambert Field,40.432,-86.9211
2020,South Carolina,Sarge Frye Field,34.0007,-81.0204
2020,Tennessee Tech,Bush Stadium,36.1629,-85.5177
2020,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2020,UNC Wilmington,Brooks Field,34.2273,-77.8709
2020,VMI,Gray-Minor Stadium,37.7886,-79.4413
2020,Virginia,Disharoon Park,38.03,-78.5155
2020,Virginia Commonwealth,Pate Field,37.5478,-77.474
2020,Virginia Tech,English Field,37.2296,-80.4139
2020,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2021,Alabama,Sewell-Thomas Stadium,33.2102,-87.5497
2021,Appalachian State,Beaver Field,36.2139,-81.6829
2021,Arkansas,Baum-Walker Stadium,36.0698,-94.1735
2021,Boston College,Harrington Field,42.3353,-71.1675
2021,Campbell,Jim Perry Stadium,35.4065,-78.478
2021,Charlotte,Hayes Stadium,35.3058,-80.7327
2021,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2021,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2021,Duke,Jack Coombs Field,36.0014,-78.9381
2021,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2021,Elon,Latham Park,36.1023,-79.4952
2021,Florida State,Dick Howser Stadium,30.443,-84.2977
2021,Georgia Tech,Mac Nease Park,33.774,-84.3975
2021,James Madison,Eagle Field,38.4341,-78.8711
2021,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2021,Louisiana Tech,J.C. Love Field,32.5233,-92.6321
2021,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2021,Miami,Mark Light Field,25.7189,-80.2775
2021,NC State,Doak Field,35.7826,-78.6986
2021,North Carolina,Boshamer Stadium,35.9115,-79.0528
2021,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2021,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2021,South Carolina,Sarge Frye Field,34.0007,-81.0204
2021,Stanford,Sunken Diamond,37.4344,-122.1633
2021,Texas Tech,Dan Law Field,33.5835,-101.8875
2021,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2021,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2021,UNC Wilmington,Brooks Field,34.2273,-77.8709
2021,Vanderbilt,Hawkins Field,36.1434,-86.8003
2021,Virginia,Disharoon Park,38.03,-78.5155
2021,Virginia Tech,English Field,37.2296,-80.4139
2021,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2022,Appalachian State,Beaver Field,36.2139,-81.6829
2022,Arkansas,Baum-Walker Stadium,36.0698,-94.1735
2022,Campbell,Jim Perry Stadium,35.4065,-78.478
2022,Charleston Southern,Buccaneer Park,32.983152,-80.066997
2022,Charlotte,Hayes Stadium,35.3058,-80.7327
2022,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2022,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2022,Duke,Jack Coombs Field,36.0014,-78.9381
2022,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2022,Elon,Latham Park,36.1023,-79.4952
2022,Evansville,Braun Stadium,37.9584,-87.6631
2022,Florida State,Dick Howser Stadium,30.443,-84.2977
2022,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2022,Georgetown,Shirkey Field,39.031053,-77.15049
2022,Georgia,Foley Field,33.948,-83.3733
2022,Georgia Tech,Mac Nease Park,33.774,-84.3975
2022,High Point,Williard Stadium,35.9557,-80.0053
2022,Hofstra,University Field,40.717,-73.596
2022,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2022,Longwood,Buddy Bolding Stadium,37.2933,-78.3979
2022,Louisville,Jim Patterson Stadium,38.2146,-85.7636
2022,Miami,Mark Light Field,25.7189,-80.2775
2022,NC State,Doak Field,35.7826,-78.6986
2022,North Carolina,Boshamer Stadium,35.9115,-79.0528
2022,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2022,Northeastern,Friedman Diamond,42.3369,-71.1139
2022,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2022,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2022,Quinnipiac,Quinnipiac Baseball Complex,41.419878,-72.891449
2022,Richmond,Pitt Field,37.5671,-77.5387
2022,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2022,South Carolina,Sarge Frye Field,34.0007,-81.0204
2022,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2022,UNC Wilmington,Brooks Field,34.2273,-77.8709
2022,VMI,Gray-Minor Stadium,37.7886,-79.4413
2022,Virginia,Disharoon Park,38.03,-78.5155
2022,Virginia Commonwealth,Pate Field,37.5478,-77.474
2022,Virginia Tech,English Field,37.2296,-80.4139
2022,Wake Forest,David F. Couch Ballpark,36.1271,-80.2768
2022,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2023,Belmont,Thomas F. Moffit Baseball Stadium,36.1358,-86.7986
2023,Boston College,Harrington Field,42.3353,-71.1675
2023,Campbell,Jim Perry Stadium,35.4065,-78.478
2023,Charlotte,Hayes Stadium,35.3058,-80.7327
2023,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2023,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2023,Davidson,Wilson Field,35.4993,-80.847
2023,Duke,Jack Coombs Field,36.0014,-78.9381
2023,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2023,Gardner-Webb,John Henry Moss Stadium,35.256,-81.6773
2023,Georgia Tech,Mac Nease Park,33.774,-84.3975
2023,High Point,Williard Stadium,35.9557,-80.0053
2023,Iowa,Duane Banks Field,41.6541,-91.5518
2023,Longwood,Buddy Bolding Stadium,37.2933,-78.3979
2023,Miami,Mark Light Field,25.7189,-80.2775
2023,NC State,Doak Field,35.7826,-78.6986
2023,North Carolina,Boshamer Stadium,35.9115,-79.0528
2023,North Carolina A&T,War Memorial Stadium,36.0575,-79.7878
2023,Notre Dame,Frank Eck Stadium,41.7051,-86.2351
2023,Penn State,Medlar Field at Lubrano Park,40.7926,-77.8538
2023,Pittsburgh,Charles L. Cost Field,40.448,-79.9587
2023,Queens,Grady Elmore Field,35.3058,-80.7325
2023,Radford,Kyle Carter Sports Complex,37.1285,-80.5718
2023,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2023,South Carolina,Sarge Frye Field,34.0007,-81.0204
2023,Stony Brook,Joe Nathan Field,40.9117,-73.1207
2023,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2023,UNC Wilmington,Brooks Field,34.2273,-77.8709
2023,Virginia,Disharoon Park,38.03,-78.5155
